-0.358406 0     0.0514126 0
-0.40045 0.00140787     0.0511337 5.25312e-05
-0.400508 0.00140536     0.0511319 5.24258e-05
-0.400517 0.00140172     0.0511317 5.22889e-05
-0.400566 0.00139891     0.0511352 5.22725e-05
-0.400665 0.0013988     0.0511339 5.21527e-05
-0.400805 0.0014022     0.0511344 5.20191e-05
-0.400879 0.00140053     0.0511362 5.19188e-05
-0.400872 0.00139694     0.0511355 5.17906e-05
-0.400884 0.0013934     0.0511369 5.16774e-05
-0.400831 0.00139085     0.0511372 5.15454e-05
-0.400765 0.00138886     0.0511339 5.15152e-05
-0.400882 0.00139028     0.0511327 5.13977e-05
-0.400782 0.00139039     0.0511289 5.14103e-05
-0.400844 0.00138825     0.0511319 5.13692e-05
-0.40092 0.00138683     0.0511315 5.12408e-05
-0.400834 0.00138599     0.0511297 5.11425e-05
-0.400854 0.00138263     0.0511327 5.11042e-05
-0.400762 0.00138221     0.0511317 5.0986e-05
-0.400686 0.00138081     0.0511288 5.09423e-05
-0.400647 0.00137791     0.0511283 5.08167e-05
-0.400619 0.00137475     0.0511271 5.07045e-05
-0.400613 0.00137134     0.0511275 5.05799e-05
-0.400616 0.00136794     0.0511241 5.05707e-05
-0.40057 0.00136533     0.0511248 5.045e-05
-0.400627 0.00136314     0.051123 5.0357e-05
-0.400612 0.00135986     0.0511205 5.0297e-05
-0.400561 0.00135747     0.0511211 5.01775e-05
-0.400534 0.00135441     0.0511197 5.00744e-05
-0.400663 0.00135724     0.05112 4.99524e-05
-0.400762 0.00135749     0.0511172 4.99069e-05
-0.400881 0.00135946     0.0511222 5.00336e-05
-0.400839 0.00135683     0.0511214 4.9918e-05
-0.40083 0.00135356     0.0511215 4.97971e-05
-0.400813 0.0013504     0.0511213 4.9677e-05
-0.400784 0.00134745     0.0511214 4.95573e-05
-0.400774 0.00134424     0.0511218 4.94394e-05
-0.400764 0.00134106     0.0511196 4.93713e-05
-0.40078 0.00133795     0.0511158 4.93979e-05
-0.400859 0.00133709     0.0511153 4.92818e-05
-0.400913 0.00133499     0.0511189 4.92939e-05
-0.401044 0.00133826     0.0511259 4.96767e-05
-0.401045 0.00133509     0.051127 4.95708e-05
-0.401045 0.00133193     0.051128 4.94622e-05
-0.400969 0.00133096     0.0511293 4.93629e-05
-0.400998 0.00132814     0.0511316 4.92993e-05
-0.401097 0.00132874     0.0511341 4.92484e-05
-0.401131 0.00132605     0.0511352 4.91447e-05
-0.401162 0.00132333     0.0511335 4.90583e-05
-0.401187 0.00132046     0.0511335 4.89438e-05
-0.401221 0.00131784     0.0511362 4.89073e-05
-0.401215 0.00131479     0.0511385 4.88467e-05
-0.401163 0.00131277     0.0511404 4.87704e-05
-0.401147 0.00130984     0.0511401 4.86586e-05
-0.401199 0.00130783     0.0511389 4.85621e-05
-0.401191 0.00130485     0.0511378 4.84606e-05
-0.401065 0.00130787     0.0511353 4.84157e-05
-0.400998 0.00130663     0.0511342 4.8317e-05
-0.400926 0.00130563     0.0511311 4.83085e-05
-0.400962 0.00130315     0.051131 4.81986e-05
-0.400967 0.00130019     0.051129 4.8127e-05
-0.401014 0.00129808     0.0511276 4.80398e-05
-0.401078 0.00129672     0.0511257 4.79666e-05
-0.401061 0.00129389     0.0511251 4.78627e-05
-0.400979 0.00129357     0.0511264 4.77727e-05
-0.400993 0.00129073     0.0511235 4.77514e-05
-0.401013 0.00128799     0.051124 4.76463e-05
-0.401054 0.00128577     0.051124 4.75397e-05
-0.401026 0.00128321     0.0511268 4.75141e-05
-0.401041 0.00128043     0.0511272 4.74099e-05
-0.401052 0.00127764     0.0511258 4.73261e-05
-0.400986 0.00127652     0.0511245 4.72375e-05
-0.400811 0.00128565     0.0511207 4.72881e-05
-0.400788 0.00128301     0.0511209 4.71842e-05
-0.400759 0.00128051     0.0511218 4.70887e-05
-0.400795 0.00127819     0.0511252 4.71021e-05
-0.400858 0.00127695     0.0511219 4.71102e-05
-0.400913 0.00127534     0.0511254 4.71332e-05
-0.400926 0.00127262     0.0511262 4.70372e-05
-0.400888 0.00127042     0.0511241 4.69815e-05
-0.400944 0.0012689     0.051122 4.69248e-05
-0.400974 0.00126649     0.0511223 4.68235e-05
-0.400984 0.00126379     0.0511235 4.67382e-05
-0.400977 0.00126107     0.0511238 4.66379e-05
-0.400945 0.00125878     0.051123 4.65441e-05
-0.400983 0.00125667     0.0511255 4.65137e-05
-0.400977 0.00125398     0.0511226 4.65029e-05
-0.401088 0.00125627     0.0511271 4.66214e-05
-0.401086 0.00125358     0.0511248 4.65816e-05
-0.401078 0.00125093     0.0511238 4.64915e-05
-0.401056 0.00124846     0.0511238 4.63925e-05
-0.401073 0.00124593     0.0511208 4.63884e-05
-0.401062 0.00124333     0.0511191 4.63229e-05
-0.401037 0.00124097     0.0511207 4.62519e-05
-0.400996 0.00123901     0.0511236 4.62453e-05
-0.401049 0.00123752     0.0511277 4.63336e-05
-0.401095 0.00123579     0.0511278 4.62363e-05
