-6.66288 0     9.57917 0
-6.66537 8.02504e-05     9.57858 0.000421868
-6.66537 8.00547e-05     9.57858 0.00042081
-6.66537 7.99585e-05     9.57859 0.000419823
-6.66537 7.97652e-05     9.57859 0.00041884
-6.66537 7.95994e-05     9.57861 0.000418098
-6.66537 7.94057e-05     9.57863 0.000417703
-6.66537 7.92174e-05     9.57861 0.000417131
-6.66537 7.9052e-05     9.57858 0.00041755
-6.66537 7.88577e-05     9.57858 0.000416519
-6.66536 7.87609e-05     9.57859 0.000415738
-6.66536 7.85689e-05     9.57859 0.000414716
-6.66537 7.83881e-05     9.57857 0.000414088
-6.66536 7.82198e-05     9.57858 0.000413096
-6.66536 7.81936e-05     9.57859 0.000412373
-6.66536 7.80526e-05     9.57855 0.000413241
-6.66536 7.788e-05     9.57853 0.000413213
-6.66536 7.78641e-05     9.57853 0.000412223
-6.66536 7.78662e-05     9.57851 0.000411636
-6.66537 7.77886e-05     9.57849 0.000411253
-6.66536 7.77205e-05     9.5785 0.00041035
-6.66536 7.75352e-05     9.57851 0.000409557
-6.66536 7.73524e-05     9.57851 0.000408576
-6.66536 7.74599e-05     9.57854 0.000408694
-6.66536 7.73342e-05     9.57854 0.000407727
-6.66536 7.71889e-05     9.57857 0.000407517
-6.66536 7.7111e-05     9.57855 0.00040703
-6.66537 7.72613e-05     9.5785 0.000408438
-6.66537 7.72264e-05     9.57847 0.000408481
-6.66538 7.71276e-05     9.57847 0.000407528
-6.66538 7.69522e-05     9.57846 0.00040664
-6.66538 7.67846e-05     9.57846 0.000405695
-6.66538 7.6605e-05     9.57846 0.000404781
-6.66538 7.64576e-05     9.57847 0.000404228
-6.66538 7.62866e-05     9.57847 0.000403378
-6.66538 7.61871e-05     9.57847 0.000402441
-6.66539 7.60245e-05     9.57845 0.000401982
-6.66539 7.58501e-05     9.57844 0.000401116
-6.66539 7.56751e-05     9.57844 0.00040021
-6.66539 7.55456e-05     9.57841 0.000400517
-6.66539 7.53905e-05     9.57841 0.000399633
-6.66539 7.52453e-05     9.57841 0.000398753
-6.66539 7.51896e-05     9.57839 0.000398592
-6.66539 7.50968e-05     9.5784 0.000397869
-6.66539 7.50014e-05     9.57837 0.000397939
-6.66539 7.49065e-05     9.57834 0.000398149
-6.66539 7.4741e-05     9.57835 0.000397439
-6.66539 7.4574e-05     9.57836 0.000396629
-6.66539 7.44361e-05     9.57836 0.000395783
-6.6654 7.42701e-05     9.57836 0.000394895
-6.66539 7.44062e-05     9.57839 0.000395244
-6.66539 7.42424e-05     9.57839 0.000394362
-6.66538 7.41469e-05     9.57841 0.000393813
-6.66538 7.39993e-05     9.57842 0.000393172
-6.66539 7.39588e-05     9.57841 0.000392427
-6.66538 7.41668e-05     9.57843 0.000392013
-6.66538 7.4072e-05     9.57842 0.000391362
-6.66537 7.43661e-05     9.57847 0.000393468
-6.66538 7.48277e-05     9.57843 0.00039419
-6.66537 7.47686e-05     9.57844 0.000393573
-6.66537 7.4605e-05     9.57843 0.00039282
-6.66537 7.45947e-05     9.57845 0.000392406
-6.66537 7.44319e-05     9.57848 0.000392674
-6.66537 7.43039e-05     9.57851 0.000392963
-6.66537 7.41804e-05     9.5785 0.000392338
-6.66537 7.40442e-05     9.57852 0.000391968
-6.66537 7.38881e-05     9.57853 0.000391392
-6.66537 7.37391e-05     9.57853 0.000390569
-6.66536 7.40664e-05     9.57856 0.000391024
-6.66535 7.41104e-05     9.57861 0.000392718
-6.66536 7.397e-05     9.57862 0.000392139
-6.66535 7.42975e-05     9.5787 0.000399137
-6.66535 7.4139e-05     9.57872 0.000398988
-6.66535 7.39813e-05     9.57873 0.00039819
-6.66535 7.38607e-05     9.57876 0.000398225
-6.66535 7.37059e-05     9.57876 0.000397414
-6.66534 7.36837e-05     9.57876 0.000396586
-6.66534 7.35336e-05     9.57878 0.000396064
-6.66534 7.34695e-05     9.57878 0.000395244
-6.66534 7.33166e-05     9.57877 0.000394555
-6.66533 7.3314e-05     9.57881 0.000395109
-6.66533 7.31871e-05     9.57883 0.000395251
-6.66533 7.30514e-05     9.57883 0.000394426
-6.66533 7.29297e-05     9.57885 0.00039376
-6.66533 7.27981e-05     9.57886 0.000393376
-6.66532 7.27169e-05     9.57887 0.000392673
-6.66532 7.26047e-05     9.57888 0.000391963
-6.66532 7.25139e-05     9.57887 0.000391348
-6.66532 7.23639e-05     9.57886 0.000390591
-6.66531 7.25774e-05     9.57888 0.000390093
-6.66531 7.24394e-05     9.57888 0.000389289
-6.66531 7.23005e-05     9.57889 0.000388766
-6.66531 7.21929e-05     9.57891 0.000388276
-6.6653 7.22484e-05     9.57894 0.000388391
-6.6653 7.21598e-05     9.57894 0.000387641
-6.6653 7.20521e-05     9.57897 0.000387577
-6.66529 7.19521e-05     9.57898 0.000387114
-6.66529 7.19291e-05     9.57902 0.000388104
-6.66528 7.20166e-05     9.57905 0.000388391
-6.66528 7.18864e-05     9.57905 0.000387663
-6.66528 7.18772e-05     9.57907 0.000387258
-6.66528 7.17379e-05     9.57907 0.000386512
-6.66527 7.16451e-05     9.57909 0.000386335
-6.66527 7.15144e-05     9.5791 0.000385645
-6.66527 7.16807e-05     9.57914 0.000387055
